ESTAÇÃO,GranVia,Sol,TirsodeMolina,AntonMartin,Atocha,AtochaRenfe,MenedezPelayo,Pacifico,PuentedeValleca,NuevaNumancia,Portazgo,BuenosAires,Noviciado,SantoDomingo,Opera,Sevilla,BancodeEspana,Retiro,Goya,ManuelBecerra,VenturaRodrigues,Callao,Lavapies,Embajadores,PalosdelaFrontera,Delicias,Legazpi,Almendrales,Hospital12deOctubre,AlonzoMatinez,Colon,Serrano,Velazqez,Lista,Oporto,Urgel,MarquezdeVadillo,Piramides,Acacias,PuertadeToledo,LaLatina,Chueca,RubenDario,Opanel,Usera,Aranzuela-Planetario,MendezAlvaro,CondedeCasal,ODonel,PrincipedeVergara,Ibiza,PrincipePio,PlazadeEspana,Tribunal,AlonsoMatinez,PanBendito,Abrantes,PlazaEliptica,SaindeBaranda,AltodelArenal,MiguelHernandez,SierradeGuadalupe,VilladeVallecas
GranVia,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Sol,1,-,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TirsodeMolina,0,1,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AntonMartin,0,0,1,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atocha,0,0,0,1,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AtochaRenfe,0,0,0,0,1,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MenedezPelayo,0,0,0,0,0,1,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pacifico,0,0,0,0,0,0,1,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PuentedeValleca,0,0,0,0,0,0,0,1,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NuevaNumancia,0,0,0,0,0,0,0,0,1,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
